"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"1",1,1,19,"SAVED",4.38,37.65,"PLAYER 10","AWAY","CORNER","HEADER","*","OPPONENT 5","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.555971907514749,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",-8.44,5.81,0.930425940717962,NA
"2",2,1,80,"MISSED",114.48,39.47,"PLAYER 16","AWAY","OPENPLAY","HEADER","","OPPONENT 9","","CROSSINAIR","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.436213074376567,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",-17.36,9.31,0.01,NA
"3",3,1,65,"MISSED",116.86,36,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 6","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.643582416906902,"SIDE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",2.48,11.56,0.93481946193002,NA
"4",4,1,54,"SAVED",5.54,36.71,"PLAYER 9","HOME","THROW-IN","HEADER","*","OPPONENT 12","ZEBRAK","OTHER","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.45958929123589,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",4.02,3.53,0.958216792857834,NA
"5",5,1,51,"SAVED",5.03,39.5,"PLAYER 10","AWAY","CORNER","HEADER","","OPPONENT 2","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.467255084384464,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",1.22,1.52,0.928336163408458,NA
"6",6,1,90,"BLOCKED",115.56,43.12,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 2","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.304334516549338,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.947639734328459,NA
"7",7,1,44,"MISSED",4.39,42.81,"PLAYER 6","AWAY","CORNER","HEADER","","OPPONENT 2","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.322358182242004,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",3.67,11.9,0.01,NA
"8",8,1,43,"MISSED",115.97,39.47,"PLAYER 16","AWAY","OPENPLAY","HEADER","","OPPONENT 14","","CROSSINAIR","LEFT","MIDDLE","RESTART",2022,0,0.543268465967233,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",7.47,9.15,0.01,NA
"9",9,1,84,"GOAL",117.25,42.12,"PLAYER 16","AWAY","THROW-IN","LEFTVOLLEY","","OPPONENT 5","","OTHER","RIGHT","OFFENSIVE","THROW-IN",2022,1,0.405682117723874,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-7.57,4.03,0.01,NA
"10",10,1,79,"MISSED",4.47,43.29,"PLAYER 23","AWAY","CORNER","HEADER","*","OPPONENT 9","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.294989096191175,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",14.62,5.73,0.01,NA
"11",11,1,41,"GOAL",114.92,44,"PLAYER 16","HOME","CORNER","HEADER","","OPPONENT 12","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,1,0.256442244852235,"SIDE","OPPONENT","2022 - OPPONENT 12 - HOME","GK",-0.58,6.03,0.01,NA
"12",12,1,33,"GOAL",114.75,40.76,"PLAYER 16","AWAY","THROW-IN","RIGHTVOLLEY","","OPPONENT 2","","CROSSINAIR","RIGHT","OFFENSIVE","THROW-IN",2022,1,0.403067603166977,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-0.36,4.24,0.945087342127228,NA
"13",13,1,89,"GOAL",117.8,36.87,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 9","","CROSSONGROUND","RIGHT","MIDDLE","POSSESSION",2022,1,0.761426305151819,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",-7.27,6.01,0.926911848053652,NA
"14",14,1,70,"MISSED",113.09,38.26,"PLAYER 16","HOME","OPENPLAY","LEFTVOLLEY","","OPPONENT 13","","CROSSINAIR","LEFT","MIDDLE","RESTART",2022,0,0.376097306199805,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",-10.2,8.22,0.01,NA
"15",15,1,69,"GOAL",115.82,40.23,"PLAYER 16","AWAY","FREEKICK","RIGHTFOOT","","OPPONENT 14","","CROSSONGROUND","RIGHT","OFFENSIVE","RESTART",2022,1,0.49314140015537,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",-6.24,7.85,0.914727262413845,NA
"16",16,1,57,"GOAL",114.93,41.74,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 13","","SHORT PASS","RIGHT","DEFENSIVE","DEFLECTED SHOT",2022,1,0.362979981920459,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",11.14,8,0.01,NA
"17",17,1,60,"GOAL",2.65,36.89,"PLAYER 21","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 4","KERN","CROSSONGROUND","LEFT","DEFENSIVE","COUNTER",2022,1,0.717100784379529,"SIDE","TEAM","2022 - OPPONENT 4 - AWAY","GK",9.34,3.77,0.927648069296732,NA
"18",18,1,19,"GOAL",2.7,42.25,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","SOMMERFELD","CROSSONGROUND","RIGHT","DEFENSIVE","POSSESSION",2022,1,0.392589012848229,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",-7.1,5.75,0.01,NA
