zone,Minute,Result,X,Y,player,h_a,situation,shotType,domVSnondom,Opponent,playerAssist,typeOfAssist,sideOfAttack,PossesionWon,typeOfAttack,year,goals.x,goals.y,sideOfAttackGrouped,Team,Game,GK,net_x,net_y,PSxG
1,19,SAVED,4.38,37.65,PLAYER 10,AWAY,CORNER,HEADER,*,OPPONENT 5,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.5559719075147489,SIDE,TEAM,2022 - OPPONENT 5 - AWAY,GK,1.19,1.19,0.9304259407179617
1,80,MISSED,114.48,39.47,PLAYER 16,AWAY,OPENPLAY,HEADER,,OPPONENT 9,,CROSSINAIR,RIGHT,DEFENSIVE,POSSESSION,2022,0,0.43621307437656676,SIDE,OPPONENT,2022 - OPPONENT 9 - AWAY,GK,-15.8,11.86,0.01
1,65,MISSED,116.86,36,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 6,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.6435824169069022,SIDE,OPPONENT,2022 - OPPONENT 6 - AWAY,GK,7.69,5.63,0.9348194619300204
1,54,SAVED,5.54,36.71,PLAYER 9,HOME,THROW-IN,HEADER,*,OPPONENT 12,ZEBRAK,OTHER,RIGHT,OFFENSIVE,THROW-IN,2022,0,0.45958929123588993,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-8.6,0.69,0.9582167928578337
1,51,SAVED,5.03,39.5,PLAYER 10,AWAY,CORNER,HEADER,,OPPONENT 2,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.46725508438446356,SIDE,TEAM,2022 - OPPONENT 2 - AWAY,GK,1.15,1.28,0.9283361634084585
1,90,BLOCKED,115.56,43.12,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 2,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.30433451654933763,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,8.68,1.69,0.9476397343284587
1,44,MISSED,4.39,42.81,PLAYER 6,AWAY,CORNER,HEADER,,OPPONENT 2,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.3223581822420037,SIDE,TEAM,2022 - OPPONENT 2 - AWAY,GK,5.03,11.98,0.01
1,43,MISSED,115.97,39.47,PLAYER 16,AWAY,OPENPLAY,HEADER,,OPPONENT 14,,CROSSINAIR,LEFT,MIDDLE,RESTART,2022,0,0.5432684659672334,SIDE,OPPONENT,2022 - OPPONENT 14 - AWAY,GK,-12.94,5.23,0.01
1,84,GOAL,117.25,42.12,PLAYER 16,AWAY,THROW-IN,LEFTVOLLEY,,OPPONENT 5,,OTHER,RIGHT,OFFENSIVE,THROW-IN,2022,1,0.4056821177238742,SIDE,OPPONENT,2022 - OPPONENT 5 - AWAY,GK,-17.53,10.02,0.01
1,79,MISSED,4.47,43.29,PLAYER 23,AWAY,CORNER,HEADER,*,OPPONENT 9,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.2949890961911753,SIDE,TEAM,2022 - OPPONENT 9 - AWAY,GK,-14.37,2.73,0.01
1,41,GOAL,114.92,44,PLAYER 16,HOME,CORNER,HEADER,,OPPONENT 12,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,1,0.2564422448522349,SIDE,OPPONENT,2022 - OPPONENT 12 - HOME,GK,-16.61,3.97,0.01
1,33,GOAL,114.75,40.76,PLAYER 16,AWAY,THROW-IN,RIGHTVOLLEY,,OPPONENT 2,,CROSSINAIR,RIGHT,OFFENSIVE,THROW-IN,2022,1,0.40306760316697715,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,10.63,4.33,0.9450873421272282
1,89,GOAL,117.8,36.87,PLAYER 16,AWAY,OPENPLAY,RIGHTVOLLEY,,OPPONENT 9,,CROSSONGROUND,RIGHT,MIDDLE,POSSESSION,2022,1,0.7614263051518191,SIDE,OPPONENT,2022 - OPPONENT 9 - AWAY,GK,-0.55,1.32,0.9269118480536519
1,70,MISSED,113.09,38.26,PLAYER 16,HOME,OPENPLAY,LEFTVOLLEY,,OPPONENT 13,,CROSSINAIR,LEFT,MIDDLE,RESTART,2022,0,0.3760973061998049,SIDE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,-5.12,9.76,0.01
1,69,GOAL,115.82,40.23,PLAYER 16,AWAY,FREEKICK,RIGHTFOOT,,OPPONENT 14,,CROSSONGROUND,RIGHT,OFFENSIVE,RESTART,2022,1,0.49314140015537017,SIDE,OPPONENT,2022 - OPPONENT 14 - AWAY,GK,3.75,5.82,0.914727262413845
1,57,GOAL,114.93,41.74,PLAYER 16,HOME,OPENPLAY,RIGHTFOOT,,OPPONENT 13,,SHORT PASS,RIGHT,DEFENSIVE,DEFLECTED SHOT,2022,1,0.3629799819204586,SIDE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,-7.51,9.07,0.01
1,60,GOAL,2.65,36.89,PLAYER 21,AWAY,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 4,KERN,CROSSONGROUND,LEFT,DEFENSIVE,COUNTER,2022,1,0.7171007843795293,SIDE,TEAM,2022 - OPPONENT 4 - AWAY,GK,-6.16,2.22,0.9276480692967319
1,19,GOAL,2.7,42.25,PLAYER 8,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 8,SOMMERFELD,CROSSONGROUND,RIGHT,DEFENSIVE,POSSESSION,2022,1,0.3925890128482286,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,16.19,6.25,0.01
1,58,SAVED,114.48,37.21,PLAYER 16,HOME,FREEKICK,RIGHTFOOT,,OPPONENT 13,,OTHER,MIDDLE,MIDDLE,LONG BALL,2022,0,0.4652307121135125,MIDDLE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,15.34,6.14,0.01
1,79,GOAL,5.08,39.06,PLAYER 23,HOME,FREEKICK,LEFTFOOT,NONDOMINANT,OPPONENT 12,,,RIGHT,OFFENSIVE,RESTART,2022,1,0.4772100513186397,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-10.44,5.43,0.9486718464138202
1,72,GOAL,117.72,42.94,PLAYER 16,HOME,OPENPLAY,LEFTFOOT,,OPPONENT 7,,CROSSONGROUND,RIGHT,DEFENSIVE,POSSESSION,2022,1,0.32141294160282224,SIDE,OPPONENT,2022 - OPPONENT 7 - HOME,GK,12.21,0.51,0.01
2,21,SAVED,114.92,31.76,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 5,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.28881537795686585,SIDE,OPPONENT,2022 - OPPONENT 5 - AWAY,GK,17.61,11.94,0.01
2,78,SAVED,4.15,31.76,PLAYER 24,HOME,THROW-IN,HEADER,*,OPPONENT 12,LOCKE,THROW-IN,LEFT,OFFENSIVE,THROW-IN,2022,0,0.301230048364795,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-3.88,1.2,0.9358057280299621
2,6,MISSED,4.4,46.51,PLAYER 24,HOME,CORNER,HEADER,,OPPONENT 8,KING,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.17818235285514547,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,11.68,6.48,0.9614185208467019
2,86,MISSED,114.63,45.88,PLAYER 16,AWAY,THROW-IN,HEADER,,OPPONENT 9,,THROW-IN,LEFT,OFFENSIVE,THROW-IN,2022,0,0.19412081181817104,SIDE,OPPONENT,2022 - OPPONENT 9 - AWAY,GK,3.71,10.53,0.01
2,5,MISSED,5.04,45.73,PLAYER 6,HOME,CORNER,HEADER,*,OPPONENT 11,KING,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.19876085770901544,SIDE,TEAM,2022 - OPPONENT 11 - HOME,GK,-11.46,5.83,0.9561651301220808
2,9,MISSED,3.92,33.65,PLAYER 2,AWAY,CORNER,RIGHTVOLLEY,DOMINANT,OPPONENT 9,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.43426536101671365,SIDE,TEAM,2022 - OPPONENT 9 - AWAY,GK,6.31,8.35,0.01
2,74,MISSED,116.29,32.74,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 9,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.3726065674910508,SIDE,OPPONENT,2022 - OPPONENT 9 - AWAY,GK,17.61,11.95,0.01
2,18,SAVED,4.89,48.08,PLAYER 6,HOME,FREEKICK,HEADER,*,OPPONENT 10,W. SHAFFER,CROSSINAIR,MIDDLE,MIDDLE,RESTART,2022,0,0.14756574945410042,MIDDLE,TEAM,2022 - OPPONENT 10 - HOME,GK,-8.65,6,0.9441795699044041
2,15,GOAL,5.33,50.13,PLAYER 10,HOME,OPENPLAY,HEADER,*,OPPONENT 7,KERN,CROSSINAIR,LEFT,DEFENSIVE,POSSESSION,2022,1,0.11868335124933019,SIDE,TEAM,2022 - OPPONENT 7 - HOME,GK,4.22,8.21,0.01
2,17,SAVED,114.59,50.53,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 4,,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.11404560400300999,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-10.58,10.08,0.01
2,33,MISSED,4.17,48.52,PLAYER 24,HOME,CORNER,RIGHTVOLLEY,DOMINANT,OPPONENT 3,,,RIGHT,OFFENSIVE,RESTART,2022,0,0.13891060486052312,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-0.97,11.94,0.01
2,48,BLOCKED,117.5,49.74,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 2,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.11616890500731109,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,8.39,2.02,0.9426389596394847
2,62,GOAL,4.07,34.54,PLAYER 18,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 1,KERN,CROSSONGROUND,LEFT,DEFENSIVE,POSSESSION,2022,1,0.48689975721286827,SIDE,TEAM,2022 - OPPONENT 1 - HOME,GK,-5.53,4.63,0.9073590213442675
2,58,BLOCKED,114.82,33.13,PLAYER 16,HOME,OPENPLAY,RIGHTFOOT,,OPPONENT 13,,CROSSONGROUND,RIGHT,MIDDLE,RESTART,2022,0,0.3525603999776128,SIDE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,-11.21,1.55,0.9594523316543736
2,34,BLOCKED,117.81,47.26,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 4,,,LEFT,DEFENSIVE,LONG BALL,2022,0,0.1475912259752615,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-10.57,8.34,0.01
2,107,SAVED,4.33,31.63,PLAYER 20,HOME,CORNER,RIGHTFOOT,DOMINANT,OPPONENT 14,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.2923707600044115,SIDE,TEAM,2022 - OPPONENT 14 - HOME,GK,14.77,9.99,0.01
2,76,MISSED,6.17,51.87,PLAYER 1,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 8,PARKER,CROSSONGROUND,RIGHT,OFFENSIVE,COUNTER,2022,0,0.10012278291583933,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,9.62,6.95,0.9579131096080211
3,37,MISSED,11.11,34.59,PLAYER 2,HOME,OPENPLAY,HEADER,*,OPPONENT 12,J. GRANT,CROSSINAIR,RIGHT,DEFENSIVE,POSSESSION,2022,0,0.20854270389205587,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-3.45,10.35,0.01
3,68,MISSED,112.69,46.56,PLAYER 16,AWAY,THROW-IN,HEADER,,OPPONENT 14,,THROW-IN,LEFT,OFFENSIVE,THROW-IN,2022,0,0.17005320858412898,SIDE,OPPONENT,2022 - OPPONENT 14 - AWAY,GK,-4.38,11.92,0.01
3,79,BLOCKED,13.98,46.19,PLAYER 8,AWAY,CORNER,LEFTVOLLEY,NONDOMINANT,OPPONENT 9,,,RIGHT,OFFENSIVE,RESTART,2022,0,0.11703660202861121,SIDE,TEAM,2022 - OPPONENT 9 - AWAY,GK,-2.68,5.33,0.8966698965103578
3,26,SAVED,6.78,42.5,PLAYER 6,HOME,CORNER,HEADER,,OPPONENT 8,KING,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.2810078527693897,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,0.38,0.29,0.9478096754228257
3,41,MISSED,11.78,43.55,PLAYER 12,AWAY,CORNER,HEADER,,OPPONENT 13,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.16539779944909241,SIDE,TEAM,2022 - OPPONENT 13 - AWAY,GK,14.13,0.24,0.01
3,29,MISSED,8.19,31.95,PLAYER 9,HOME,THROW-IN,HEADER,*,OPPONENT 1,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,THROW-IN,2022,0,0.2347598184406791,SIDE,TEAM,2022 - OPPONENT 1 - HOME,GK,2.59,2.75,0.893946826818321
3,60,BLOCKED,16.64,30.45,PLAYER 15,HOME,THROW-IN,LEFTVOLLEY,DOMINANT,OPPONENT 3,,,RIGHT,OFFENSIVE,THROW-IN,2022,0,0.10341446050791551,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,5.47,2.15,0.9247792247218447
3,15,BLOCKED,16.92,46.35,PLAYER 6,AWAY,OPENPLAY,RIGHTVOLLEY,DOMINANT,OPPONENT 5,ZEBRAK,OTHER,MIDDLE,MIDDLE,LONG BALL,2022,0,0.09252915417131055,MIDDLE,TEAM,2022 - OPPONENT 5 - AWAY,GK,13.46,10.93,0.01
3,88,MISSED,11.18,47.92,PLAYER 20,HOME,OPENPLAY,HEADER,,OPPONENT 6,,CROSSINAIR,LEFT,DEFENSIVE,RESTART,2022,0,0.12405239079336186,SIDE,TEAM,2022 - OPPONENT 6 - HOME,GK,10.33,0.49,0.9651402747961906
3,52,MISSED,6.74,32.14,PLAYER 24,AWAY,OPENPLAY,HEADER,,OPPONENT 4,W. SHAFFER,CROSSINAIR,MIDDLE,MIDDLE,RESTART,2022,0,0.27055974822067796,MIDDLE,TEAM,2022 - OPPONENT 4 - AWAY,GK,-6.56,1.91,0.9345446603460524
3,48,SAVED,109.33,41.04,PLAYER 16,AWAY,OPENPLAY,HEADER,,OPPONENT 4,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.212581010479083,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,14.85,5.52,0.01
3,44,MISSED,8.56,42.35,PLAYER 19,HOME,FREEKICK,HEADER,*,OPPONENT 12,GERVERS,LONG BALL,MIDDLE,MIDDLE,RESTART,2022,0,0.24169938676745176,MIDDLE,TEAM,2022 - OPPONENT 12 - HOME,GK,8.9,10.2,0.01
